0,349,88.07
607,345,84.38
1215,337,75.27
1822,328,68.17
2429,314,59.97
3037,290,51.02
3642,258,43.13
4248,244,40.87
4853,264,44.54
5459,293,51.79
6066,311,58.69
6672,320,62.72
7278,329,68.19
7885,340,77.78
8494,348,87.40
9102,352,95.97
9710,356,103.67
10319,359,112.93
10930,362,121.34
11540,364,131.52
12150,366,140.73
12762,368,149.72
13374,368,158.43
13986,369,167.92
14600,369,175.14
15213,370,185.70
15826,371,194.05
16442,371,199.51
17056,371,195.99
17671,371,187.02
18285,370,174.84
18898,368,162.91
19512,367,150.94
20123,365,136.02
20734,361,123.31
21345,358,109.40
21954,351,93.09
22563,341,78.70
23171,324,65.12
23778,301,54.40
24384,280,48.89
24990,294,52.68
25596,316,60.63
26204,327,67.35
26810,338,77.00
27418,347,87.83
28026,354,98.51
28635,358,108.59
29245,361,120.31
29855,363,131.08
30466,366,141.86
31077,368,155.17
31689,368,165.57
32303,369,172.97
-32620,369,173.44
-32007,368,174.33
-31393,369,174.35
-30780,369,173.88
-30167,369,170.87
-29553,368,160.85
-28941,366,149.98
-28328,365,138.07
-27717,363,122.47
-27107,357,108.82
-26498,355,102.01
-25888,354,99.92
-25279,354,99.85
-24671,353,99.93
-24061,354,99.83
-23452,353,98.46
-22844,346,86.56
-22236,331,70.88
-21628,303,55.27
-21021,239,40.13
-20416,119,28.91
-19811,45,18.47
-19207,35,9.57
-18604,24,2.74
-18000,26,3.31
-17397,26,3.70
-16794,26,3.76
-16190,32,7.60
-15587,45,18.90
-14983,148,30.42
-14377,270,45.55
-13772,316,61.76
-13165,340,76.44
-12558,349,90.11
-11950,357,105.78
-11339,362,119.59
-10730,362,121.99
-10119,362,121.97
-9508,363,122.01
-8898,362,121.99
-8288,363,121.99
-7677,362,121.99
-7067,363,121.99
-6457,363,121.99
