Time,distance
13:36:09,1.0
13:36:12,0.75
13:36:14,0.5
13:36:15,0.3
13:36:17,0.5
13:36:19,0.75
13:36:20,1.0
13:36:22,1.25
13:36:23,1.5
13:36:25,1.75
13:36:27,2.0
13:36:27,2.1
13:36:29,1.75
13:36:31,1.5
13:36:32,1.25
13:36:33,1.0
13:36:34,0.5
13:36:35,0.4
13:36:38,0.75
13:36:39,1.0
13:36:40,1.25
13:36:42,1.5
13:36:43,1.75
13:36:45,1.75
13:36:48,1.5
13:36:49,1.25
13:36:50,1.0
13:36:53,1.0
13:36:54,0.75
13:36:55,0.5
13:36:56,0.25
13:36:58,0.0
13:36:59,0.0
13:37:01,0.25
13:37:02,0.5
13:37:03,0.75
13:37:04,1.0
13:37:05,1.25
